progress,window_size,issueE,issueB,issueD,issueC,issueA
0.0265456787109375,1,0.18235294117649078,0.3147058823529415,0.12352941176468522,0.3147058823529415,0.06470588235294109
0.02714560546875,6,0.2333333333333237,0.2333333333333237,0.2333333333333237,0.2333333333333237,0.06666666666670515
0.027446435546875,420,0.17366399598061238,0.322449952211908,0.12941612623436535,0.322449952211908,0.05201997336120635
0.032509130859375,1,0.17179487179492164,0.3256410256409184,0.10769230769241465,0.3256410256409184,0.0692307692308271
0.03320927734375,6,0.2333333333333237,0.2333333333333237,0.2333333333333237,0.2333333333333237,0.06666666666670515
0.033506005859375,420,0.24218350873383762,0.25795599185590745,0.2374928860673051,0.25795599185590745,0.004411621487042318
0.039343896484375,1,0.16000000000058007,0.3266666666665176,0.10444444444468166,0.3266666666665176,0.08222222222170301
0.0400431640625,6,0.2333333333333237,0.2333333333333237,0.2333333333333237,0.2333333333333237,0.06666666666670515
0.040241552734375,420,0.24218350873383762,0.25795599185590745,0.2374928860673051,0.25795599185590745,0.004411621487042318
0.04809521484375,1,0.15555555555684342,0.3272727272725135,0.11515151514989903,0.3272727272725135,0.07474747474823056
0.0488987548828125,6,0.2333333333333237,0.2333333333333237,0.2333333333333237,0.2333333333333237,0.06666666666670515
0.04919873046875,420,0.24218350873383762,0.25795599185590745,0.2374928860673051,0.25795599185590745,0.004411621487042318
0.0549541748046875,1,0.14000000000979365,0.3309090909083365,0.11272727272609799,0.3309090909083365,0.08545454544743547
0.055754150390625,6,0.2333333333333237,0.2333333333333237,0.2333333333333237,0.2333333333333237,0.06666666666670515
0.05605419921875,420,0.24218350873383762,0.25795599185590745,0.2374928860673051,0.25795599185590745,0.004411621487042318
0.0663147216796875,1,0.13120000001899554,0.3311999999986948,0.13119999997594325,0.3311999999986948,0.07520000000767171
0.06771298828125,6,0.2333333333333237,0.2333333333333237,0.2333333333333237,0.2333333333333237,0.06666666666670515
0.068312841796875,11,0.2,0.2,0.2,0.2,0.2
0.06881298828125,420,0.24237043103781927,0.2582128047160136,0.2376590234242244,0.2582128047160136,0.0035449361059289625
0.0802693603515625,1,0.12713178296022506,0.33643410851806255,0.11937984498839864,0.33643410851806255,0.08062015501525131
0.0815699951171875,6,0.2333333333333237,0.2333333333333237,0.2333333333333237,0.2333333333333237,0.06666666666670515
0.082321435546875,11,0.2,0.2,0.2,0.2,0.2
0.0829215087890625,420,0.24252116585392108,0.2584198995271522,0.23779299718449504,0.2584198995271522,0.002846037907279528
0.096374853515625,1,0.12428571439604075,0.33142857143995685,0.13142857130310115,0.33142857143995685,0.08142857142094449
0.0983748779296875,6,0.2333333333333237,0.2333333333333237,0.2333333333333237,0.2333333333333237,0.06666666666670515
0.0995746826171875,11,0.2,0.2,0.2,0.2,0.2
0.1004754638671875,420,0.24264252810537118,0.2585866393235271,0.2379008644815281,0.2585866393235271,0.002283328766046573
